id	g	profile	x	y1	y2	distal
1	1	2	-1.95834840281705	2.02801317388367	0.476399724645639	-0.03467076468381
2	2	1	1.24210829689685	1.73443447147922	1.57499370091946	10.1631161333164
3	3	1	0.247260926839653	0.989068589800354	1.42766533780667	9.19776083091704
4	4	1	2.13711618789577	1.21557912354804	2.00557205156214	11.2660673886337
5	5	2	-0.953909162846235	0.774050251870334	-0.534969897311439	-2.13142519013258
6	6	1	-0.0301655221317907	2.20898826364437	0.511794431378966	10.621843124245
7	7	2	0.498279121828315	-0.56768779373808	-0.180533428485668	3.02908010674215
8	8	2	0.20618186668181	0.311985885675002	-0.549586049253151	-0.34068420673056
9	9	2	-0.152364360782235	0.383943985490902	0.0755432702173149	-2.2369006761817
10	10	1	1.08130665712781	2.08739998184527	0.513444014593247	6.99079814812344
11	11	1	-0.30010546476575	1.89555417176627	0.900152383777067	10.1318113072212
12	12	2	-1.44339527702824	-0.521189445249724	0.648008849550239	0.937624119600342
13	13	1	-0.332186305317416	1.93523306608274	0.188259679228013	5.96065536282801
14	14	2	1.17232466675888	-0.863604555643228	-1.71496605059588	-1.00331822512207
15	15	2	-0.423866564221563	-1.39486779244961	-0.145399528817647	0.660519862194131
16	16	1	-0.651475961525502	-0.166059315550341	0.337661308445226	12.8297953917383
17	17	1	3.10824315769235	0.0143847146045375	1.95575602848805	11.5504521967092
18	18	1	0.962764201039607	1.15648050573473	2.3686588969097	10.0397487274472
19	19	1	-0.610641563288762	3.92465828264523	2.10821847284765	7.39717957635822
20	20	1	-0.235771003677997	2.2102707853902	0.736585601010773	9.97449970916797
21	21	1	-0.404292250894505	2.24219516062976	-0.068474998984341	12.6720407644442
22	22	1	2.08451098883996	2.47206454372348	2.58526869119973	9.37289145268416
23	23	1	-0.247915400459327	0.881877822668402	1.63716399530585	8.49992990450102
24	24	1	1.62027555365482	1.21097176702725	1.09639700084049	11.0931808394687
25	25	2	-0.101374158292093	0.54214515075214	0.402344496424684	-1.86931370285228
26	26	2	-0.88301553622935	0.617737483258488	-0.81378150825936	1.16967788462933
27	27	2	-1.56076131267119	-1.32405691632975	1.30804198903523	-1.7897071151709
28	28	1	0.95129348346713	2.03620058849972	1.9912451508781	11.7584112660511
29	29	2	-1.24209704061927	1.73058892617562	0.477022301537547	0.824217004157924
30	30	2	-0.0169077947748338	0.708596990484408	0.00685977461512828	0.100698050261571
31	31	2	0.936844172402592	0.283740532713098	1.19056556301264	-2.79674953602509
32	32	2	1.13792466853281	0.945508707547152	0.50151497544264	-0.601393413079344
33	33	1	0.0713665280392882	0.94585210369946	1.76403363954897	10.4472084526658
34	34	2	0.352347290631922	0.0737332719124	-0.854616006446682	5.58808467771321
35	35	1	1.63151338390969	1.88570803451765	-0.125421576660395	10.7057028295898
36	36	1	-0.794055637613104	2.23976946329529	0.811122939958787	10.2907597997364
37	37	2	0.842907237503114	-0.838649089577348	1.98662657389613	-1.25160854160019
38	38	2	-0.801372321512693	-1.72837329819234	-0.070864136122209	-1.46516642437744
39	39	2	0.64329629067629	-0.259366915141264	-0.765599650041863	0.0696930787128013
40	40	2	-1.71648304150441	-1.41995184029533	1.12588354369455	4.12672757365014
41	41	1	2.06537556959816	2.51410963495723	1.25531133056763	10.6226435424936
42	42	1	1.17855575345093	3.15322713244038	1.05044565745804	8.417451092989
43	43	2	-2.74323621357722	-1.02089224738469	1.20895136757677	-1.19671179399021
44	44	1	-0.547341610064345	2.86186869189515	1.88026107412812	13.4606668414986
45	45	1	0.843013496211612	3.03761273619327	0.745080586856364	7.68502689027681
46	46	1	1.92391498727267	1.49259591886954	0.317586549187372	8.67993215328495
47	47	1	0.533065713134037	2.38031882591413	2.73390732125225	12.5544030142016
48	48	1	-0.36126874327933	2.5468730164702	1.52721065070026	8.55405408309536
49	49	2	0.131628719983742	-0.642043866003341	0.888067011151599	-2.56240796244355
50	50	1	-0.845717567000268	1.58895206247443	1.08841876696666	9.8439549681992
51	51	2	-1.99774766580539	1.41872186893654	-0.194967337700635	-0.391654451680899
52	52	2	-0.723974071886337	0.152049668559208	-1.15464047731184	-2.4147738231869
53	53	1	1.7986388061547	3.78433092210179	0.882769709110996	7.96356659018968
